number,value,params_beta,params_latent,user_attrs_best_epoch,user_attrs_r2_V0,user_attrs_r2_V1,user_attrs_r2_V2,user_attrs_r2_std_V0,user_attrs_r2_std_V1,user_attrs_r2_std_V2
0,0.5307731182321892,0.11073208022372016,13,149,0.9495675485419451,0.8162769078063308,-0.19660967446776656,0.6596406250735756,0.8163478528940429,0.5549377602340558
1,0.860074377569986,0.5746103695786917,21,138,0.9941878889634154,0.9315507070583948,0.6449440280402156,0.9400948839907795,0.9123582152981159,0.9090396977317716
2,0.6163989534403516,0.607824610681531,14,147,0.9960715323186742,0.7876906315461564,0.02062976282734763,0.9132607086413471,0.8977595923431935,0.8894702982851792
3,-0.09840825507581377,1.2476244257693734,16,58,0.979969958197695,0.2870586196825574,-1.70977087294201,0.8870764991556778,0.857061798618413,0.7634700038504784
4,0.21980067333994402,1.3724832907329148,21,105,0.9923018907812766,0.49860390096321405,-0.9270088387878219,0.8443222458572222,0.8893552803601484,0.7403207680025683
5,0.48779994171904784,1.2016321844318263,25,149,0.9966835995634582,0.7185538501023174,-0.3183699445405197,0.9450345574677905,0.8961812514741192,0.8862980968210996
6,0.23793601881104112,1.4172903043263974,22,107,0.9905840885201663,0.5169301947377059,-0.8860288646754659,0.8597939219397467,0.8952812817599183,0.7128629718970803
7,-19.30651928505472,1.8085344344634557,5,43,-4.04605948569487,-1.2634027811990256,-5.543989637628377,-10.048117613053922,-9.963883564276735,-932.1635697400293
8,0.8986929685451235,0.23784930800500947,14,144,0.9851953560502846,0.937058627147335,0.7769936098275799,0.8695987027146008,0.9234758014741871,0.8427993410398303
9,0.9103357163292887,0.40449645256956823,22,150,0.9886372222380923,0.9486293438718055,0.7944790090149365,0.9139593241592904,0.9432717050880394,0.8597460231381503
10,-0.9451947492090436,0.8982941593776625,8,76,0.9201169838942949,-0.45927929048603433,-3.52135780303772,0.7233335985594619,0.5678625349179086,0.14700099693974522
11,-0.6780957752920462,1.9147982181719818,19,89,0.9526153758188088,-0.15539137197332598,-3.036919455092205,0.8189498325487959,0.6873430019306912,0.362174221685458
12,0.5028311147551525,1.0166199299152012,22,144,0.9962446410002291,0.7267836897172946,-0.2802492093227593,0.9589305425242871,0.9156033152961244,0.8825297209882123
13,-0.4526324669419957,1.6700693720193394,18,83,0.970259059161469,-0.036897088663814026,-2.484346022605948,0.8845236088029843,0.7753536450786457,0.6508717196561957
14,-0.7353040989231987,1.5245809485539688,14,106,0.9361377510154154,-0.28404688858063687,-3.065562386146831,0.7317403672628513,0.6395576803913883,0.3664149674828252
15,0.6648809995882663,0.7245917880674742,18,104,0.9961374637084816,0.8272714351365473,0.1338107048517968,0.936436975566458,0.8965607390092425,0.8726897904805826
16,-3.400074975240069,1.0839697819161909,5,89,-0.17935799638631722,-3.339235480742249,-5.984419544863255,-10.7926944021849,-6.235234623011866,-6.419322071362767
17,0.8680740448552606,0.28998069433300233,11,149,0.9943819868216017,0.9320034887412305,0.6685687773872181,0.9499383742318788,0.9231211624203799,0.9072523486124277
18,0.8895808474776853,0.3749625462813173,16,149,0.9928868528667564,0.9517875911323316,0.7191173587256615,0.9333564831646053,0.9470565576783659,0.8823935560479069
19,0.7591900255855087,0.4800764130081796,13,117,0.9942033223951554,0.8724799614724991,0.39076263480043294,0.8833615380151895,0.9245068280286259,0.8520607143930553
20,-3.40694169886037,1.1370895143179283,5,61,-0.26634718661143997,-3.635355084555985,-5.648780018897676,-11.605489089519786,-7.568675218898072,-3.7831741119674227
21,0.8710397360864615,0.3581102116299395,24,139,0.9794063181735186,0.9336928457684377,0.7059566899864912,0.8140274914501583,0.8851783732077557,0.8011170758892705
22,-0.15075361705285661,1.440025590114028,19,118,0.9892967455002203,0.2574368271313404,-1.8551225897911299,0.931791838713352,0.8736902033307848,0.7086922608162787
23,-3.4670947370299863,1.1656506136775255,5,61,-0.4073298588671528,-3.680007857895225,-5.508335816371634,-12.725826734371177,-9.061238012959302,-3.9208223449224926
24,-0.48650031709244324,1.819706935630423,19,120,0.9639222741813529,-0.02188182941934924,-2.5889083844274,0.8180546810168758,0.7591884640991741,0.523228682979886
25,0.13905336578284777,1.671459063720124,25,113,0.9941439607302599,0.47138182979288823,-1.1598316191767335,0.8981712191348696,0.8587994761769296,0.778041996077187
26,0.6258155603585739,1.0126510585141004,24,125,0.9961080487385294,0.7968109165700127,0.042404767394829346,0.9271186112359767,0.8796712675791839,0.8709928213352152
27,0.8788163374898657,0.1392895076376479,9,149,0.9799306312101006,0.9349442467205307,0.7271762667291543,0.8308655992464422,0.880986611626293,0.8181562899832869
28,0.7823371071868814,0.7826529617851785,24,149,0.9946321802099495,0.8889715075163616,0.4433700963550905,0.9291477889189593,0.8960777610366272,0.9024989837106756
29,0.8561895349281743,0.3418101014135728,13,138,0.990600231629449,0.9436268851846698,0.624468076506091,0.9525465384222748,0.9199661094485408,0.8836507747356614
30,-9.542222954564076,0.005916745992252226,19,149,0.7770754094757695,-1.8403884663702388,-29.115368817164057,0.2533805440234793,0.923988240079858,-0.315790450835977
31,0.2927018830417033,0.36063510329589255,6,108,0.9952262828188114,0.5509352965584446,-0.7586459796890057,0.9049571384989508,0.9126055738311376,0.7817538760953534
32,-2.001142158807883,0.010331192514987875,9,132,0.8125323863664777,0.16326122248532615,-7.3388696225747925,0.27273556735333526,0.8706761569818405,-0.3134969920713757
33,0.9117349420125345,0.3198895106201684,17,150,0.9886106552407923,0.947753705185959,0.7984251010267811,0.9170570796138076,0.9434971127823685,0.8825425607387758
34,0.9123733471995435,0.37583084843597353,17,150,0.9914305843008864,0.9535255808925087,0.7906252358390422,0.9228059457730542,0.9342843222857427,0.9092639442975108
35,0.912088171167769,0.40146346912081055,19,149,0.986994919006014,0.9463457971133566,0.8078131443212169,0.8592608709911997,0.9270827856333907,0.8570232650703876
36,0.9005854129438486,0.4422774444406288,20,149,0.9912771559636232,0.9549168014319889,0.7509612264307525,0.9432053892379001,0.9422534349786496,0.903717459713439
37,0.9039295123859399,0.47744427710448833,19,138,0.9932783702594921,0.9440297785457913,0.7712259564828206,0.9158855160747781,0.949601849828317,0.9081353767793281
38,0.028300481699554347,0.11299950932767006,23,150,0.916803316202733,0.7052544502591227,-1.6210875176965867,0.46729930488197424,0.8442756014073978,0.36801926914377847
39,0.9042607484926785,0.3168526449495599,18,144,0.9864500559981083,0.9443480043304265,0.7808990770253335,0.90490413286412,0.923256059131065,0.9052391078420291
40,0.8770815558938263,0.499555336480319,20,146,0.9927364990820287,0.9453040544178632,0.6845352554053649,0.9500891145132618,0.9327847299610001,0.9130791399554409
41,0.5685711905889052,0.1640247877823798,18,150,0.9564248058639306,0.8269781064306441,-0.09996112982996919,0.662399790779318,0.8721204018860436,0.5943573758414398
42,0.9092855298800381,0.3874935176802203,17,150,0.9918277469312976,0.9529203663671711,0.7811571077392474,0.9206933877726446,0.9322325476879546,0.9120066576250838
43,0.4337034810816499,0.7873641641143043,15,108,0.9937410732674555,0.667464877202314,-0.4281826086946323,0.873274158699011,0.9081054268949252,0.813385785577455
44,0.8024422626683607,0.5857492213928843,17,116,0.9926394529652519,0.889094084272363,0.5114753487539545,0.8933793390312023,0.9290207437717599,0.8531668434588675
45,-1.5443387086052516,0.03154377618818166,16,150,0.8686104897780244,0.33125711582624406,-6.150448900765043,0.39733826112612036,0.919604672149017,0.0837791584644807
46,0.9112350207205527,0.35954440861610143,20,149,0.9886470588762855,0.9533584744538941,0.7913313432381861,0.9288262779406483,0.9433754169740564,0.8684988935195048
47,0.8776520633766406,0.3476984750963321,22,150,0.9847226722729069,0.9278194156676518,0.7189488839295977,0.8844758374124881,0.9419813132496285,0.8343381864033528
48,0.8930197647752582,0.4964961357759752,21,138,0.9914301631122229,0.9467086539878654,0.7380610647227447,0.9311077245369124,0.9142136860270482,0.8880667213177158
49,0.8837903210124087,0.30652452953587006,20,149,0.9843134916644809,0.94070003525499,0.7242049017709994,0.897416614728126,0.9465719605322819,0.8482805403651774
50,0.7037593855633418,0.7523135707194318,19,140,0.9976342747651825,0.8314888069080568,0.24647781100355026,0.9530161929454819,0.9186774225935288,0.917452557402503
51,0.8390882897841856,0.4583895338275379,16,144,0.9948707910257019,0.9315760979422281,0.577019308191103,0.9460257626512255,0.93361904620456,0.8997948321737295
52,0.9146316634923106,0.3411692692159609,17,150,0.9899679699462569,0.9511721410329236,0.8021881050928305,0.9274578405551717,0.9396682233366564,0.8875376402786017
53,0.8588594056914185,0.2415317468991879,17,148,0.9810808674914768,0.9205907514310675,0.6781454174734205,0.8158822437879404,0.9032433642126436,0.7959150419612028
54,0.8839800013386754,0.30724858150231255,20,149,0.984445867245704,0.9408965878430301,0.7246406407575608,0.8983250940542773,0.9464383943306868,0.8443577708559549
55,0.8841295864969946,0.46728670671388145,17,142,0.99368302185578,0.9388070740022003,0.7197133490110118,0.8658337591978876,0.87224296174016,0.9178330163707765
56,0.8873353477895831,0.5431728872783683,24,142,0.9902405288184056,0.9448084185787163,0.7252374794060459,0.9139359001667982,0.9087442219241804,0.8719986360238215
57,-2.180257638184668,1.9564346485899682,12,46,0.6096635680484233,-1.9321197213951704,-5.353708702212003,-2.1385863774305705,-0.7007216419489017,-1.1290180160843466
58,0.9026213740381626,0.2694126919426774,16,144,0.990063782914922,0.9469202802737248,0.7699734786307653,0.913235043667224,0.9540541694148164,0.8577999346388938
59,0.7161757357034192,0.7502160328801346,20,149,0.996608057077367,0.860046940360209,0.25849918908568625,0.9515650100431432,0.9244182164843813,0.9066313717356459
60,-0.8581898337080206,1.2049417365996717,11,61,0.9245922608319472,-0.4534057346922682,-3.261384502070614,0.6957659624067019,0.5125896295451111,0.31401592825471925
61,0.8649905733812696,0.4201206679575316,16,144,0.9937789503778381,0.948944824165697,0.6425810339036608,0.9419297774597004,0.9365234929016697,0.9001897720180834
62,0.9001662477401724,0.3316936567825582,18,144,0.9872981358376096,0.947820778948593,0.7640485452663334,0.923985275331033,0.9250953814297054,0.8767124666514334
63,0.6819849539517197,0.5880563884903753,15,142,0.996941585543605,0.8497191958014577,0.16192887258133182,0.9438996334030105,0.9212505810424966,0.8907435980561799
64,0.06898598670054185,0.10461998331777239,21,148,0.9192160938279135,0.7131204221964356,-1.5067543614268515,0.5518881602004837,0.8564074246040475,0.3448026798755267
65,0.8985286155955875,0.40161397844772706,18,125,0.9897017535372225,0.9509536049001676,0.7529153622725215,0.915561640621071,0.9322112290798011,0.8861003725460561
66,0.7091979628867813,0.17651206290650956,15,149,0.9643248295211133,0.8660882584290437,0.2972564531149524,0.6544971010548621,0.8171785222279222,0.6544808696870161
67,0.8520843094457873,0.5332815661468014,20,142,0.9926327579645253,0.9350750231811652,0.6156560882855306,0.9574304531102882,0.9361064358380397,0.9076081586057066
68,0.7116432223366989,0.6350982909711798,17,146,0.9963297314402098,0.8455193617086632,0.25813250656033915,0.9483131685092459,0.9295869130100088,0.9210428642076438
69,0.8787717976963024,0.3015113788942711,20,149,0.9836772689477717,0.9390078560625629,0.711643847752712,0.894775312530739,0.9454122946371021,0.8338697721124203
70,0.5659154741682174,0.21524312758544073,25,149,0.9498799444477769,0.8416288563734865,-0.11820490240968073,0.6771369461550302,0.9093065143670788,0.5757109197508665
71,0.755023655031559,0.2150482714382888,18,149,0.9704004901912695,0.8866365191736798,0.40407975921737005,0.7500288784185835,0.8764957769796573,0.7136760434312321
72,0.9242326358139359,0.3568510377074803,17,150,0.9918798584132843,0.9578979800358269,0.8231624317525663,0.9228829924288358,0.9432733389183103,0.9019366836571413
73,0.8367285053974691,0.41729693578405413,15,149,0.9951273993464671,0.9287957088428214,0.5726091260738844,0.9410825546797993,0.940301388635001,0.8882139295330721
74,0.8998158034876336,0.3422149786449229,16,149,0.9918012356509898,0.9539516825497154,0.7511017174245456,0.926570898401583,0.9482130498377209,0.8739261841389481
75,0.8196043140507969,0.5191078798160778,18,149,0.9921247914901612,0.9266943803054236,0.5263149084764482,0.9479854297302774,0.9136678203661296,0.857058067782787
76,0.36898868181083366,0.5839166638670248,11,118,0.99700408797073,0.6628052311029935,-0.6361580240755338,0.9631346244164996,0.9032467536690634,0.8235649255988539
77,-2.4542707244765736,0.02018815761901288,17,150,0.8538627197814327,-0.23955884790133886,-8.446261147503213,0.45449510735864485,0.9446374625212329,0.15181219836496262
78,0.8772445498155987,0.5725619918531348,22,150,0.9920129067699035,0.9420134982694356,0.6903403561397496,0.9333633433544226,0.9259271519950674,0.9124140311837508
79,0.91187912785951,0.40096600403135596,19,149,0.9868761122684482,0.9463162503772201,0.8074883262898002,0.8582216035968222,0.926973453776619,0.8546195244232585
80,0.9021531970245853,0.47833441686789796,21,138,0.9907089876418607,0.9502035395028003,0.7638274264728344,0.9264288979511788,0.9151864172762066,0.8975173875153303
81,0.8521659747682214,0.2859743725235598,19,149,0.9739015383477303,0.9238133774097251,0.6688280549568495,0.7471937941448202,0.9044349529592013,0.7140132954174818
82,0.8092524558971861,0.5355011394882033,18,149,0.9920092261845075,0.9222352313058865,0.49772708051713355,0.9492959966148992,0.9140782326792359,0.8643139023940082
83,0.22242566104880623,1.0229859162553887,16,148,0.9946470953098937,0.529943040824594,-0.9607644006844807,0.9160558865976893,0.8898903027622895,0.826904500018265
84,0.8562189637990484,0.2791351084819618,20,149,0.9813360911146203,0.9320265621104213,0.6512003610421451,0.8878385558287357,0.9513240757429269,0.8072779252946995
85,0.8988238361683805,0.3239735318773568,15,142,0.9936980805215503,0.9521601181829968,0.7471581368383831,0.9266903160931029,0.9515643132510638,0.883865165442984
86,0.8744266552403211,0.4683180799598442,18,125,0.9907749675881474,0.9426008020214968,0.6837975959635687,0.9235973533352468,0.9275619895490614,0.8881460256439211
87,0.5365013206435957,0.1589764616178856,20,149,0.9549634990333963,0.8160032817935875,-0.1964580052221332,0.7292955864259305,0.9273263735788347,0.6177905421188137
88,-0.032759970413579254,0.056332925707111126,13,150,0.9120852630017557,0.6868372548829595,-1.7903802158435949,0.5313419484760722,0.8450920703244102,0.29566401760347405
89,0.7098812086055251,0.6291195400413909,17,146,0.995743520310195,0.8529162388826281,0.24662540246344888,0.9522763415544815,0.9248558702981126,0.905322233009741
90,0.8769144117164615,0.5325935555231321,21,138,0.9930623060271688,0.9403189280240385,0.6912344674034239,0.9368936018109969,0.9101517589859467,0.9001210145527502
91,0.8825704080967649,0.2602012429798214,17,148,0.9833507280198162,0.9274342433111937,0.7401900669681428,0.8359696517182494,0.9099590832733394,0.8397700231304112
92,0.9245659800929092,0.3633189921362242,17,150,0.9917795205683582,0.958264897672506,0.8232549808330776,0.9222988981291903,0.9444594160355428,0.9145119090049366
93,0.7730640216642172,0.4837109940717917,15,149,0.9961063574455873,0.8954656054543996,0.4033161196346652,0.9451746421432522,0.9360879906324198,0.8997050989189735
94,0.9068813940749014,0.34873440519655374,18,144,0.989900948623281,0.950334244273726,0.7775936947610176,0.936891738312406,0.9334383507906181,0.9038046898885932
95,0.9151661778238537,0.3478233547269775,17,150,0.9906336873267098,0.9543259397131545,0.7995900460359512,0.9297160107586451,0.948750281782258,0.8850605884498218
96,0.8173025555383882,0.2413408614296548,18,149,0.9754324359949903,0.9081040786997834,0.5686593685230226,0.7926008749640623,0.8889267453001911,0.7649039309009074
97,0.8814209894172447,0.3538501109462752,22,150,0.9851435434539749,0.9301378871865382,0.7278279921000541,0.8879174555993108,0.9414636460386266,0.8367992313259616
98,0.7568539696129734,0.673494641921788,19,140,0.9965426603611875,0.8640230765969713,0.38284092570855655,0.957149017857966,0.9272773987305907,0.9020851695222585
99,0.8668876738993954,0.39560951173006953,14,108,0.9928590483513389,0.9379369196006878,0.6631432827143209,0.927071913175628,0.9159715090602641,0.8853712490672215
100,0.7800496561529859,0.2104852393498939,17,149,0.9754312084301139,0.891566642110764,0.4706618044137356,0.7650335047631676,0.8989107378841744,0.7235016823941576
101,0.8599384006170994,0.4937645870432136,17,149,0.9953484700981194,0.9261750232043644,0.6479548441295582,0.9208295500394958,0.9209525544091004,0.9344335213685709
102,0.9227964530279867,0.3683151618435733,17,150,0.9918087516929652,0.9583690175439359,0.8177442529510961,0.9209503922130938,0.9423393539017647,0.9139790139924014
103,0.8949004897953714,0.41460597279105643,18,125,0.9897946633864885,0.951672564921587,0.7409820270528031,0.9142551834452958,0.9295814075299056,0.8836569448903968
104,0.8707724437718638,0.22938937429757683,15,147,0.982943335905584,0.9243067084311817,0.7053716979861333,0.8551325618155835,0.9146386735910498,0.8367622867701097
105,-0.7414406875155112,0.05169560007291185,19,149,0.8875726764955754,0.4655402466268357,-3.77367873853951,0.38058604888094794,0.8980433950041851,0.22567979810907868
106,0.6650874862708944,0.6472337914523276,15,105,0.9942773979355701,0.8296853433499894,0.13820811967120616,0.8892745902690631,0.9230379313155863,0.8116902964904711
107,0.9146546139149199,0.43398969948246596,19,138,0.9900309784224526,0.9477681753242476,0.8075817152429516,0.8885226840476489,0.9462335907630239,0.8822840492811366
108,0.8924384058015936,0.5046807464765315,19,138,0.9944761231265035,0.9374237841824502,0.7397235739437813,0.9293033331701767,0.9515215666659836,0.9046333044575015
109,0.897139032111593,0.41641843840459525,17,150,0.9927525331993016,0.9486579141529865,0.7464730208552275,0.9218111976070158,0.919887144788974,0.9168576883567927
